REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
SIMPLICITY,SOLPV,ID,2014,0.3
SIMPLICITY,SOLPV,ID,2015,0.3
SIMPLICITY,SOLPV,ID,2016,0.3
SIMPLICITY,SOLPV,ID,2017,0.3
SIMPLICITY,SOLPV,ID,2018,0.3
SIMPLICITY,SOLPV,ID,2019,0.3
SIMPLICITY,SOLPV,ID,2020,0.3
SIMPLICITY,SOLPV,ID,2021,0.3
SIMPLICITY,SOLPV,ID,2022,0.3
SIMPLICITY,SOLPV,ID,2023,0.3
SIMPLICITY,SOLPV,ID,2024,0.3
SIMPLICITY,SOLPV,ID,2025,0.3
SIMPLICITY,SOLPV,ID,2026,0.3
SIMPLICITY,SOLPV,ID,2027,0.3
SIMPLICITY,SOLPV,ID,2028,0.3
SIMPLICITY,SOLPV,ID,2029,0.3
SIMPLICITY,SOLPV,ID,2030,0.3
SIMPLICITY,SOLPV,ID,2031,0.3
SIMPLICITY,SOLPV,ID,2032,0.3
SIMPLICITY,SOLPV,ID,2033,0.3
SIMPLICITY,SOLPV,ID,2034,0.3
SIMPLICITY,SOLPV,ID,2035,0.3
SIMPLICITY,SOLPV,ID,2036,0.3
SIMPLICITY,SOLPV,ID,2037,0.3
SIMPLICITY,SOLPV,ID,2038,0.3
SIMPLICITY,SOLPV,ID,2039,0.3
SIMPLICITY,SOLPV,ID,2040,0.3
SIMPLICITY,SOLPV,IN,2014,0.0
SIMPLICITY,SOLPV,IN,2015,0.0
SIMPLICITY,SOLPV,IN,2016,0.0
SIMPLICITY,SOLPV,IN,2017,0.0
SIMPLICITY,SOLPV,IN,2018,0.0
SIMPLICITY,SOLPV,IN,2019,0.0
SIMPLICITY,SOLPV,IN,2020,0.0
SIMPLICITY,SOLPV,IN,2021,0.0
SIMPLICITY,SOLPV,IN,2022,0.0
SIMPLICITY,SOLPV,IN,2023,0.0
SIMPLICITY,SOLPV,IN,2024,0.0
SIMPLICITY,SOLPV,IN,2025,0.0
SIMPLICITY,SOLPV,IN,2026,0.0
SIMPLICITY,SOLPV,IN,2027,0.0
SIMPLICITY,SOLPV,IN,2028,0.0
SIMPLICITY,SOLPV,IN,2029,0.0
SIMPLICITY,SOLPV,IN,2030,0.0
SIMPLICITY,SOLPV,IN,2031,0.0
SIMPLICITY,SOLPV,IN,2032,0.0
SIMPLICITY,SOLPV,IN,2033,0.0
SIMPLICITY,SOLPV,IN,2034,0.0
SIMPLICITY,SOLPV,IN,2035,0.0
SIMPLICITY,SOLPV,IN,2036,0.0
SIMPLICITY,SOLPV,IN,2037,0.0
SIMPLICITY,SOLPV,IN,2038,0.0
SIMPLICITY,SOLPV,IN,2039,0.0
SIMPLICITY,SOLPV,IN,2040,0.0
SIMPLICITY,SOLPV,SD,2014,0.4
SIMPLICITY,SOLPV,SD,2015,0.4
SIMPLICITY,SOLPV,SD,2016,0.4
SIMPLICITY,SOLPV,SD,2017,0.4
SIMPLICITY,SOLPV,SD,2018,0.4
SIMPLICITY,SOLPV,SD,2019,0.4
SIMPLICITY,SOLPV,SD,2020,0.4
SIMPLICITY,SOLPV,SD,2021,0.4
SIMPLICITY,SOLPV,SD,2022,0.4
SIMPLICITY,SOLPV,SD,2023,0.4
SIMPLICITY,SOLPV,SD,2024,0.4
SIMPLICITY,SOLPV,SD,2025,0.4
SIMPLICITY,SOLPV,SD,2026,0.4
SIMPLICITY,SOLPV,SD,2027,0.4
SIMPLICITY,SOLPV,SD,2028,0.4
SIMPLICITY,SOLPV,SD,2029,0.4
SIMPLICITY,SOLPV,SD,2030,0.4
SIMPLICITY,SOLPV,SD,2031,0.4
SIMPLICITY,SOLPV,SD,2032,0.4
SIMPLICITY,SOLPV,SD,2033,0.4
SIMPLICITY,SOLPV,SD,2034,0.4
SIMPLICITY,SOLPV,SD,2035,0.4
SIMPLICITY,SOLPV,SD,2036,0.4
SIMPLICITY,SOLPV,SD,2037,0.4
SIMPLICITY,SOLPV,SD,2038,0.4
SIMPLICITY,SOLPV,SD,2039,0.4
SIMPLICITY,SOLPV,SD,2040,0.4
SIMPLICITY,SOLPV,SN,2014,0.0
SIMPLICITY,SOLPV,SN,2015,0.0
SIMPLICITY,SOLPV,SN,2016,0.0
SIMPLICITY,SOLPV,SN,2017,0.0
SIMPLICITY,SOLPV,SN,2018,0.0
SIMPLICITY,SOLPV,SN,2019,0.0
SIMPLICITY,SOLPV,SN,2020,0.0
SIMPLICITY,SOLPV,SN,2021,0.0
SIMPLICITY,SOLPV,SN,2022,0.0
SIMPLICITY,SOLPV,SN,2023,0.0
SIMPLICITY,SOLPV,SN,2024,0.0
SIMPLICITY,SOLPV,SN,2025,0.0
SIMPLICITY,SOLPV,SN,2026,0.0
SIMPLICITY,SOLPV,SN,2027,0.0
SIMPLICITY,SOLPV,SN,2028,0.0
SIMPLICITY,SOLPV,SN,2029,0.0
SIMPLICITY,SOLPV,SN,2030,0.0
SIMPLICITY,SOLPV,SN,2031,0.0
SIMPLICITY,SOLPV,SN,2032,0.0
SIMPLICITY,SOLPV,SN,2033,0.0
SIMPLICITY,SOLPV,SN,2034,0.0
SIMPLICITY,SOLPV,SN,2035,0.0
SIMPLICITY,SOLPV,SN,2036,0.0
SIMPLICITY,SOLPV,SN,2037,0.0
SIMPLICITY,SOLPV,SN,2038,0.0
SIMPLICITY,SOLPV,SN,2039,0.0
SIMPLICITY,SOLPV,SN,2040,0.0
SIMPLICITY,SOLPV,WD,2014,0.25
SIMPLICITY,SOLPV,WD,2015,0.25
SIMPLICITY,SOLPV,WD,2016,0.25
SIMPLICITY,SOLPV,WD,2017,0.25
SIMPLICITY,SOLPV,WD,2018,0.25
SIMPLICITY,SOLPV,WD,2019,0.25
SIMPLICITY,SOLPV,WD,2020,0.25
SIMPLICITY,SOLPV,WD,2021,0.25
SIMPLICITY,SOLPV,WD,2022,0.25
SIMPLICITY,SOLPV,WD,2023,0.25
SIMPLICITY,SOLPV,WD,2024,0.25
SIMPLICITY,SOLPV,WD,2025,0.25
SIMPLICITY,SOLPV,WD,2026,0.25
SIMPLICITY,SOLPV,WD,2027,0.25
SIMPLICITY,SOLPV,WD,2028,0.25
SIMPLICITY,SOLPV,WD,2029,0.25
SIMPLICITY,SOLPV,WD,2030,0.25
SIMPLICITY,SOLPV,WD,2031,0.25
SIMPLICITY,SOLPV,WD,2032,0.25
SIMPLICITY,SOLPV,WD,2033,0.25
SIMPLICITY,SOLPV,WD,2034,0.25
SIMPLICITY,SOLPV,WD,2035,0.25
SIMPLICITY,SOLPV,WD,2036,0.25
SIMPLICITY,SOLPV,WD,2037,0.25
SIMPLICITY,SOLPV,WD,2038,0.25
SIMPLICITY,SOLPV,WD,2039,0.25
SIMPLICITY,SOLPV,WD,2040,0.25
SIMPLICITY,SOLPV,WN,2014,0.0
SIMPLICITY,SOLPV,WN,2015,0.0
SIMPLICITY,SOLPV,WN,2016,0.0
SIMPLICITY,SOLPV,WN,2017,0.0
SIMPLICITY,SOLPV,WN,2018,0.0
SIMPLICITY,SOLPV,WN,2019,0.0
SIMPLICITY,SOLPV,WN,2020,0.0
SIMPLICITY,SOLPV,WN,2021,0.0
SIMPLICITY,SOLPV,WN,2022,0.0
SIMPLICITY,SOLPV,WN,2023,0.0
SIMPLICITY,SOLPV,WN,2024,0.0
SIMPLICITY,SOLPV,WN,2025,0.0
SIMPLICITY,SOLPV,WN,2026,0.0
SIMPLICITY,SOLPV,WN,2027,0.0
SIMPLICITY,SOLPV,WN,2028,0.0
SIMPLICITY,SOLPV,WN,2029,0.0
SIMPLICITY,SOLPV,WN,2030,0.0
SIMPLICITY,SOLPV,WN,2031,0.0
SIMPLICITY,SOLPV,WN,2032,0.0
SIMPLICITY,SOLPV,WN,2033,0.0
SIMPLICITY,SOLPV,WN,2034,0.0
SIMPLICITY,SOLPV,WN,2035,0.0
SIMPLICITY,SOLPV,WN,2036,0.0
SIMPLICITY,SOLPV,WN,2037,0.0
SIMPLICITY,SOLPV,WN,2038,0.0
SIMPLICITY,SOLPV,WN,2039,0.0
SIMPLICITY,SOLPV,WN,2040,0.0
SIMPLICITY,WIND,ID,2014,0.25
SIMPLICITY,WIND,ID,2015,0.25
SIMPLICITY,WIND,ID,2016,0.25
SIMPLICITY,WIND,ID,2017,0.25
SIMPLICITY,WIND,ID,2018,0.25
SIMPLICITY,WIND,ID,2019,0.25
SIMPLICITY,WIND,ID,2020,0.25
SIMPLICITY,WIND,ID,2021,0.25
SIMPLICITY,WIND,ID,2022,0.25
SIMPLICITY,WIND,ID,2023,0.25
SIMPLICITY,WIND,ID,2024,0.25
SIMPLICITY,WIND,ID,2025,0.25
SIMPLICITY,WIND,ID,2026,0.25
SIMPLICITY,WIND,ID,2027,0.25
SIMPLICITY,WIND,ID,2028,0.25
SIMPLICITY,WIND,ID,2029,0.25
SIMPLICITY,WIND,ID,2030,0.25
SIMPLICITY,WIND,ID,2031,0.25
SIMPLICITY,WIND,ID,2032,0.25
SIMPLICITY,WIND,ID,2033,0.25
SIMPLICITY,WIND,ID,2034,0.25
SIMPLICITY,WIND,ID,2035,0.25
SIMPLICITY,WIND,ID,2036,0.25
SIMPLICITY,WIND,ID,2037,0.25
SIMPLICITY,WIND,ID,2038,0.25
SIMPLICITY,WIND,ID,2039,0.25
SIMPLICITY,WIND,ID,2040,0.25
SIMPLICITY,WIND,IN,2014,0.25
SIMPLICITY,WIND,IN,2015,0.25
SIMPLICITY,WIND,IN,2016,0.25
SIMPLICITY,WIND,IN,2017,0.25
SIMPLICITY,WIND,IN,2018,0.25
SIMPLICITY,WIND,IN,2019,0.25
SIMPLICITY,WIND,IN,2020,0.25
SIMPLICITY,WIND,IN,2021,0.25
SIMPLICITY,WIND,IN,2022,0.25
SIMPLICITY,WIND,IN,2023,0.25
SIMPLICITY,WIND,IN,2024,0.25
SIMPLICITY,WIND,IN,2025,0.25
SIMPLICITY,WIND,IN,2026,0.25
SIMPLICITY,WIND,IN,2027,0.25
SIMPLICITY,WIND,IN,2028,0.25
SIMPLICITY,WIND,IN,2029,0.25
SIMPLICITY,WIND,IN,2030,0.25
SIMPLICITY,WIND,IN,2031,0.25
SIMPLICITY,WIND,IN,2032,0.25
SIMPLICITY,WIND,IN,2033,0.25
SIMPLICITY,WIND,IN,2034,0.25
SIMPLICITY,WIND,IN,2035,0.25
SIMPLICITY,WIND,IN,2036,0.25
SIMPLICITY,WIND,IN,2037,0.25
SIMPLICITY,WIND,IN,2038,0.25
SIMPLICITY,WIND,IN,2039,0.25
SIMPLICITY,WIND,IN,2040,0.25
SIMPLICITY,WIND,SD,2014,0.25
SIMPLICITY,WIND,SD,2015,0.25
SIMPLICITY,WIND,SD,2016,0.25
SIMPLICITY,WIND,SD,2017,0.25
SIMPLICITY,WIND,SD,2018,0.25
SIMPLICITY,WIND,SD,2019,0.25
SIMPLICITY,WIND,SD,2020,0.25
SIMPLICITY,WIND,SD,2021,0.25
SIMPLICITY,WIND,SD,2022,0.25
SIMPLICITY,WIND,SD,2023,0.25
SIMPLICITY,WIND,SD,2024,0.25
SIMPLICITY,WIND,SD,2025,0.25
SIMPLICITY,WIND,SD,2026,0.25
SIMPLICITY,WIND,SD,2027,0.25
SIMPLICITY,WIND,SD,2028,0.25
SIMPLICITY,WIND,SD,2029,0.25
SIMPLICITY,WIND,SD,2030,0.25
SIMPLICITY,WIND,SD,2031,0.25
SIMPLICITY,WIND,SD,2032,0.25
SIMPLICITY,WIND,SD,2033,0.25
SIMPLICITY,WIND,SD,2034,0.25
SIMPLICITY,WIND,SD,2035,0.25
SIMPLICITY,WIND,SD,2036,0.25
SIMPLICITY,WIND,SD,2037,0.25
SIMPLICITY,WIND,SD,2038,0.25
SIMPLICITY,WIND,SD,2039,0.25
SIMPLICITY,WIND,SD,2040,0.25
SIMPLICITY,WIND,SN,2014,0.25
SIMPLICITY,WIND,SN,2015,0.25
SIMPLICITY,WIND,SN,2016,0.25
SIMPLICITY,WIND,SN,2017,0.25
SIMPLICITY,WIND,SN,2018,0.25
SIMPLICITY,WIND,SN,2019,0.25
SIMPLICITY,WIND,SN,2020,0.25
SIMPLICITY,WIND,SN,2021,0.25
SIMPLICITY,WIND,SN,2022,0.25
SIMPLICITY,WIND,SN,2023,0.25
SIMPLICITY,WIND,SN,2024,0.25
SIMPLICITY,WIND,SN,2025,0.25
SIMPLICITY,WIND,SN,2026,0.25
SIMPLICITY,WIND,SN,2027,0.25
SIMPLICITY,WIND,SN,2028,0.25
SIMPLICITY,WIND,SN,2029,0.25
SIMPLICITY,WIND,SN,2030,0.25
SIMPLICITY,WIND,SN,2031,0.25
SIMPLICITY,WIND,SN,2032,0.25
SIMPLICITY,WIND,SN,2033,0.25
SIMPLICITY,WIND,SN,2034,0.25
SIMPLICITY,WIND,SN,2035,0.25
SIMPLICITY,WIND,SN,2036,0.25
SIMPLICITY,WIND,SN,2037,0.25
SIMPLICITY,WIND,SN,2038,0.25
SIMPLICITY,WIND,SN,2039,0.25
SIMPLICITY,WIND,SN,2040,0.25
SIMPLICITY,WIND,WD,2014,0.25
SIMPLICITY,WIND,WD,2015,0.25
SIMPLICITY,WIND,WD,2016,0.25
SIMPLICITY,WIND,WD,2017,0.25
SIMPLICITY,WIND,WD,2018,0.25
SIMPLICITY,WIND,WD,2019,0.25
SIMPLICITY,WIND,WD,2020,0.25
SIMPLICITY,WIND,WD,2021,0.25
SIMPLICITY,WIND,WD,2022,0.25
SIMPLICITY,WIND,WD,2023,0.25
SIMPLICITY,WIND,WD,2024,0.25
SIMPLICITY,WIND,WD,2025,0.25
SIMPLICITY,WIND,WD,2026,0.25
SIMPLICITY,WIND,WD,2027,0.25
SIMPLICITY,WIND,WD,2028,0.25
SIMPLICITY,WIND,WD,2029,0.25
SIMPLICITY,WIND,WD,2030,0.25
SIMPLICITY,WIND,WD,2031,0.25
SIMPLICITY,WIND,WD,2032,0.25
SIMPLICITY,WIND,WD,2033,0.25
SIMPLICITY,WIND,WD,2034,0.25
SIMPLICITY,WIND,WD,2035,0.25
SIMPLICITY,WIND,WD,2036,0.25
SIMPLICITY,WIND,WD,2037,0.25
SIMPLICITY,WIND,WD,2038,0.25
SIMPLICITY,WIND,WD,2039,0.25
SIMPLICITY,WIND,WD,2040,0.25
SIMPLICITY,WIND,WN,2014,0.25
SIMPLICITY,WIND,WN,2015,0.25
SIMPLICITY,WIND,WN,2016,0.25
SIMPLICITY,WIND,WN,2017,0.25
SIMPLICITY,WIND,WN,2018,0.25
SIMPLICITY,WIND,WN,2019,0.25
SIMPLICITY,WIND,WN,2020,0.25
SIMPLICITY,WIND,WN,2021,0.25
SIMPLICITY,WIND,WN,2022,0.25
SIMPLICITY,WIND,WN,2023,0.25
SIMPLICITY,WIND,WN,2024,0.25
SIMPLICITY,WIND,WN,2025,0.25
SIMPLICITY,WIND,WN,2026,0.25
SIMPLICITY,WIND,WN,2027,0.25
SIMPLICITY,WIND,WN,2028,0.25
SIMPLICITY,WIND,WN,2029,0.25
SIMPLICITY,WIND,WN,2030,0.25
SIMPLICITY,WIND,WN,2031,0.25
SIMPLICITY,WIND,WN,2032,0.25
SIMPLICITY,WIND,WN,2033,0.25
SIMPLICITY,WIND,WN,2034,0.25
SIMPLICITY,WIND,WN,2035,0.25
