REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
SIMPLICITY,ID,Backstop1,1,FEL1,2030,1.4283695
SIMPLICITY,ID,Backstop1,1,FEL1,2031,1.7021325
SIMPLICITY,ID,Backstop1,1,FEL1,2032,1.9768956000000002
SIMPLICITY,ID,Backstop1,1,FEL1,2033,2.2626908
SIMPLICITY,ID,Backstop1,1,FEL1,2034,2.5609487
SIMPLICITY,ID,Backstop1,1,FEL1,2035,2.7088182
SIMPLICITY,ID,Backstop1,1,FEL1,2036,2.775045
SIMPLICITY,ID,Backstop1,1,FEL1,2037,2.844871
SIMPLICITY,ID,Backstop1,1,FEL1,2038,2.9182963
SIMPLICITY,ID,Backstop1,1,FEL1,2039,2.9953209
SIMPLICITY,ID,Backstop1,1,FEL1,2040,3.0759448
SIMPLICITY,ID,TD,1,FEL1,2014,1.5937611999999999
SIMPLICITY,ID,TD,1,FEL1,2015,1.6016796999999998
SIMPLICITY,ID,TD,1,FEL1,2016,1.6369526
SIMPLICITY,ID,TD,1,FEL1,2017,1.6859028000000003
SIMPLICITY,ID,TD,1,FEL1,2018,1.7463707
SIMPLICITY,ID,TD,1,FEL1,2019,1.8061188000000001
SIMPLICITY,ID,TD,1,FEL1,2020,1.8637073
SIMPLICITY,ID,TD,1,FEL1,2021,1.9313737000000002
SIMPLICITY,ID,TD,1,FEL1,2022,2.0011997999999998
SIMPLICITY,ID,TD,1,FEL1,2023,2.0775045
SIMPLICITY,ID,TD,1,FEL1,2024,2.1271746
SIMPLICITY,ID,TD,1,FEL1,2025,2.1638872000000005
SIMPLICITY,ID,TD,1,FEL1,2026,2.2034792999999997
SIMPLICITY,ID,TD,1,FEL1,2027,2.2466707
SIMPLICITY,ID,TD,1,FEL1,2028,2.2934612999999997
SIMPLICITY,ID,TD,1,FEL1,2029,2.3452909
SIMPLICITY,ID,TD,1,FEL1,2030,0.97307023
SIMPLICITY,ID,TD,1,FEL1,2031,0.75905523
SIMPLICITY,ID,TD,1,FEL1,2032,0.54476009
SIMPLICITY,ID,TD,1,FEL1,2033,0.32087251
SIMPLICITY,ID,TD,1,FEL1,2034,0.08524204699999999
SIMPLICITY,ID,Backstop2,1,FEL2,2030,0.93581284
SIMPLICITY,ID,Backstop2,1,FEL2,2031,0.97180564
SIMPLICITY,ID,Backstop2,1,FEL2,2032,1.079784
SIMPLICITY,ID,Backstop2,1,FEL2,2033,1.1157768
SIMPLICITY,ID,Backstop2,1,FEL2,2034,1.1517696000000002
SIMPLICITY,ID,Backstop2,1,FEL2,2035,1.1805638999999999
SIMPLICITY,ID,Backstop2,1,FEL2,2036,1.2237552
SIMPLICITY,ID,Backstop2,1,FEL2,2037,1.2813437
SIMPLICITY,ID,Backstop2,1,FEL2,2038,1.3317337
SIMPLICITY,ID,Backstop2,1,FEL2,2039,1.3821236000000001
SIMPLICITY,ID,Backstop2,1,FEL2,2040,1.4757049
SIMPLICITY,ID,GridExp,1,FEL2,2018,0.21595681
SIMPLICITY,ID,GridExp,1,FEL2,2019,0.28794241
SIMPLICITY,ID,GridExp,1,FEL2,2020,0.35992801
SIMPLICITY,ID,GridExp,1,FEL2,2021,0.50389922
SIMPLICITY,ID,GridExp,1,FEL2,2022,0.53989202
SIMPLICITY,ID,GridExp,1,FEL2,2023,0.64787043
SIMPLICITY,ID,GridExp,1,FEL2,2024,0.68386323
SIMPLICITY,ID,GridExp,1,FEL2,2025,0.71985603
SIMPLICITY,ID,GridExp,1,FEL2,2026,0.79184163
